feature,importance
retry_hours_log,0.6267063844624037
cat_temp_error,0.36488356334418753
success_rate,0.0020858090769398097
account_age_days,0.0016426847333287436
avg_amount_log,0.0015055183491772773
cat_auth_required,0.001208647958356952
amount_vs_avg_ratio,0.0006172396242381578
typical_payment_hour,0.0003511419068080779
past_failure_count,0.00034454349299878627
amount_log,0.0002892915282708024
past_success_count,0.00021476767632523078
typical_payment_day,0.00015040784696488665
cat_insufficient_funds,6.296867187000604e-17
cat_expired_card,0.0
cat_unknown,0.0
cat_hard_decline,0.0
cat_fraud_flag,0.0
